p, b, ordering, mapping, nnz, volume, message,
4, 20, MMD, ROW2D, 4000238, 90337896, 11770,  
8, 20, MMD, MODWRAP2D, 4000238, 117751904, 13571,  
8, 20, MMD, COL2D, 4000238, 187254072, 10118,  
8, 20, MMD, ROW2D, 4000238, 189730488, 21072,  
16, 20, MMD, MODWRAP2D, 4000238, 167998688, 15755,  
16, 20, MMD, COL2D, 4000238, 312802864, 15048,  
16, 20, MMD, ROW2D, 4000238, 329627952, 29727,  
24, 20, MMD, MODWRAP2D, 4000238, 198883064, 18964,  
24, 20, MMD, COL2D, 4000238, 382828600, 18165,  
24, 20, MMD, ROW2D, 4000238, 422730448, 34018,  
100, 20, MMD, MODWRAP2D, 4000238, 317667992, 24761,  
100, 20, MMD, COL2D, 4000238, 632866656, 31870,  
100, 20, MMD, ROW2D, 4000238, 604820440, 43598,  
169, 20, MMD, MODWRAP2D, 4000238, 348834280, 25362,  
169, 20, MMD, COL2D, 4000238, 628083648, 36263,  
169, 20, MMD, ROW2D, 4000238, 573425608, 43103,  
2, 20, AMD, MODWRAP2D, 4552101, 36550648, 4249,  
2, 20, AMD, COL2D, 4552101, 38102944, 2824,  
2, 20, AMD, ROW2D, 4552101, 36550648, 4249,  
4, 20, AMD, MODWRAP2D, 4552101, 73909536, 7057,  
4, 20, AMD, COL2D, 4552101, 106851608, 6116,  
4, 20, AMD, ROW2D, 4552101, 104606288, 12085,  
8, 20, AMD, MODWRAP2D, 4552101, 137325040, 14077,  
8, 20, AMD, COL2D, 4552101, 221844536, 10561,  
8, 20, AMD, ROW2D, 4552101, 223418032, 22247,  
16, 20, AMD, MODWRAP2D, 4552101, 197910440, 16534,  
16, 20, AMD, COL2D, 4552101, 394404224, 15810,  
16, 20, AMD, ROW2D, 4552101, 408139256, 32303,  
24, 20, AMD, MODWRAP2D, 4552101, 237485784, 20210,  
24, 20, AMD, COL2D, 4552101, 499496648, 19008,  
24, 20, AMD, ROW2D, 4552101, 529652200, 37458,  
100, 20, AMD, MODWRAP2D, 4552101, 370460368, 26153,  
100, 20, AMD, COL2D, 4552101, 769995616, 34290,  
100, 20, AMD, ROW2D, 4552101, 750879520, 49168,  
169, 20, AMD, MODWRAP2D, 4552101, 436691808, 27564,  
169, 20, AMD, COL2D, 4552101, 900207840, 40469,  
169, 20, AMD, ROW2D, 4552101, 831638760, 51399,  
