p, b, ordering, load_balancing, mapping, nnz, volume, msg,
64, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 208683576, 27053,  
64, 20, SCOTCH, NOLB, COL2D, 3037110, 392931016, 34719,  
64, 20, SCOTCH, NOLB, ROW2D, 3037110, 294473216, 48511,  
100, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 239165320, 29136,  
100, 20, SCOTCH, NOLB, COL2D, 3037110, 400926360, 39017,  
100, 20, SCOTCH, NOLB, ROW2D, 3037110, 310726520, 51510,  
169, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 266763064, 30628,  
169, 20, SCOTCH, NOLB, COL2D, 3037110, 440815696, 43803,  
169, 20, SCOTCH, NOLB, ROW2D, 3037110, 317068832, 52142,  
64, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 169179920, 12793,  
64, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 178937608, 3522,  
64, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 243802464, 24233,  
100, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 203156872, 15441,  
100, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 221058104, 5142,  
100, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 270442200, 28149,  
169, 20, SCOTCH, SUBCUBE-FO, MODWRAP2D, 3037110, 249725224, 19604,  
169, 20, SCOTCH, SUBCUBE-FO, COL2D, 3037110, 264622296, 7994,  
169, 20, SCOTCH, SUBCUBE-FO, ROW2D, 3037110, 288742968, 32221,  
64, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 165486136, 12834,  
64, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 177987856, 3502,  
64, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 228030904, 23061,  
100, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 204766128, 15956,  
100, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 221441472, 5179,  
100, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 268299392, 27988,  
169, 20, SCOTCH, SUBCUBE-FI, MODWRAP2D, 3037110, 250788888, 19441,  
169, 20, SCOTCH, SUBCUBE-FI, COL2D, 3037110, 264467168, 8004,  
169, 20, SCOTCH, SUBCUBE-FI, ROW2D, 3037110, 287345984, 31922,  
2, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 24462576, 3616,  
2, 20, SCOTCH, NOLB, COL2D, 3037110, 26353056, 3212,  
2, 20, SCOTCH, NOLB, ROW2D, 3037110, 24462576, 3616,  
4, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 50242752, 6828,  
4, 20, SCOTCH, NOLB, COL2D, 3037110, 74004928, 7881,  
4, 20, SCOTCH, NOLB, ROW2D, 3037110, 68459464, 10731,  
8, 20, SCOTCH, NOLB, MODWRAP2D, 3037110, 89690672, 13721,  
8, 20, SCOTCH, NOLB, COL2D, 3037110, 151899472, 14033,  
8, 20, SCOTCH, NOLB, ROW2D, 3037110, 136507160, 22394,  
